movie_id,genre
5289,Crime
10833,Crime
10833,Comedy
10833,Romance
14003,Action
14003,Adventure
14003,Animation
14003,Drama
33195,Drama
33195,Thriller
33195,Mystery
1493,Comedy
1493,Crime
1493,Action
69225,Crime
69225,Action
69225,Thriller
326359,Adventure
326359,Animation
326359,Family
11983,Action
11983,Adventure
11983,Drama
11983,Romance
11983,Thriller
2148,Music
2148,Drama
2148,Crime
2148,Romance
9585,Drama
9585,Thriller
16093,Horror
16093,Mystery
210911,Horror
210911,Action
210911,Drama
16161,Crime
16161,Drama
16161,Romance
15673,Music
15673,Comedy
15673,Crime
39446,TV Movie
39446,Crime
39446,Drama
39446,Mystery
16337,Horror
2655,Drama
2655,Horror
2655,Mystery
2655,Thriller
197335,Comedy
387957,Action
387957,Drama
72391,Family
72391,Comedy
72391,Adventure
82703,Animation
82703,Adventure
82703,Family
100271,Comedy
100271,Fantasy
100271,Animation
100271,Drama
55846,Crime
55846,Action
55846,Thriller
89708,Drama
89708,Documentary
11962,Fantasy
11962,Comedy
11962,Music
10867,Drama
11471,Action
11471,Crime
11471,Drama
9334,Action
9334,Fantasy
9334,Adventure
331313,Action
331313,Comedy
12407,Drama
12407,Adventure
12407,Crime
20533,Action
20533,Western
20533,Drama
20533,Fantasy
20533,Thriller
21778,Comedy
9909,Drama
9909,Crime
11683,Horror
112160,Comedy
112160,Drama
14275,Documentary
132137,Drama
132137,Horror
12498,Drama
11502,Drama
9438,Comedy
9438,Family
93,Crime
93,Drama
93,Mystery
93,Thriller
632,Comedy
632,Drama
632,War
2928,Comedy
2928,Drama
2928,Fantasy
10047,Adventure
10047,Drama
10047,Action
10047,History
10047,War
173908,Drama
10186,Comedy
10186,Music
17965,Comedy
17965,Horror
26269,Drama
26269,Crime
26269,Mystery
26269,Thriller
72545,Adventure
72545,Action
72545,Science Fiction
10663,Comedy
22311,Action
22311,Comedy
22311,War
13257,Comedy
13257,Romance
4985,Crime
4985,Comedy
4985,Drama
13849,Horror
13849,Comedy
13849,Crime
13849,Thriller
378111,Adventure
378111,Animation
9059,Horror
9059,Comedy
9059,Thriller
8676,Romance
8676,Comedy
8676,Adventure
10917,Crime
10917,Drama
10092,Horror
10092,Thriller
198185,Drama
305943,Drama
305943,Thriller
28384,Romance
28384,Comedy
28384,Drama
291413,Horror
291413,Thriller
9394,Action
9394,Comedy
9394,Western
301804,Drama
301804,Fantasy
301804,Horror
301804,Thriller
228066,Drama
228066,Science Fiction
228066,Thriller
16550,Comedy
16550,Drama
28942,Horror
28942,Science Fiction
28942,Thriller
15264,Western
912,Romance
912,Crime
912,Thriller
912,Drama
244772,Drama
4934,Western
20197,Action
20197,Comedy
18359,Drama
18359,Action
18359,Adventure
3050,Comedy
3050,Family
3050,Fantasy
1024,Drama
1024,Fantasy
6877,Comedy
15544,Comedy
1667,Documentary
1667,Family
213681,Action
213681,Comedy
213681,Crime
19840,Comedy
19840,Romance
9593,Adventure
9593,Fantasy
9593,Action
9593,Comedy
9593,Family
157851,Drama
1965,Crime
1965,Thriller
1965,Drama
408439,Crime
408439,Drama
408439,Horror
408439,Thriller
252512,Comedy
252512,Drama
252512,Mystery
12778,Comedy
285783,Adventure
285783,Drama
285783,Thriller
12239,Action
12239,Drama
12239,Thriller
1523,Drama
9708,Mystery
9708,Thriller
9708,Horror
19366,Comedy
19366,Music
71676,Action
71676,Fantasy
71676,Thriller
323675,Action
323675,Comedy
323675,Action
323675,Comedy
38050,Science Fiction
38050,Thriller
38050,Romance
2609,Comedy
24100,Family
24100,Horror
1738,Action
1738,Science Fiction
1738,Thriller
