movie_id,director
9910,D.J. Caruso
239568,Scot Armstrong
9270,Rian Johnson
15749,Susan Montford
25208,Kasi Lemmons
110548,Paul Ziller
267197,Ivica Matić
319851,Jim McBride
48848,Pier Paolo Pasolini
48848,Giovanni Bonfanti
276819,Yoram Gross
48848,Pier Paolo Pasolini
48848,Giovanni Bonfanti
110123,James L. Conway
109074,Tim Ritter
24428,Joss Whedon
268531,David Soren
339988,James Ponsoldt
10178,Edward Dmytryk
15739,John Huston
373314,Shintaro Shimosawa
373314,Shintaro Shimosawa
152742,Giuseppe Tornatore
13667,Savage Steve Holland
9696,Takashi Miike
9034,Bob Dolman
2661,Leslie H. Martinson
11707,Richard Tuggle
712,Mike Newell
15997,Roy Allen Smith
393729,Houda Benyamina
10601,P.J. Hogan
346681,Craig Johnson
35019,Susanna White
71157,Maïwenn
7446,Ben Stiller
77950,David Soren
16084,Gary Nelson
33408,Alan Shapiro
12146,Ron Howard
10724,Clint Eastwood
84287,Bart Layton
365222,Wilson Yip
368940,Ben Stassen
368940,Vincent Kesteloot
2251,Adrian Lyne
11618,Jan de Bont
285843,Ruba Nadda
375867,Eleanor Coppola
82684,Curtis Hanson
82684,Michael Apted
11894,John Hughes
6478,Kevin Spacey
13997,Penelope Spheeris
11511,Paul Michael Glaser
101267,Dan Cutforth
101267,Jane Lipsitz
37725,Nick Hurran
44865,Wong Kar-wai
55420,Mike Cahill
11908,Adam Green
70585,Gil Cates Jr.
27230,Lewis Jackson
41609,George Sidney
89691,David Brooks
10012,Wes Craven
9396,John Cornell
7364,Breck Eisner
24124,Tony Maylam
9839,Martin Campbell
1656,Martin Campbell
10440,Woody Allen
10523,Oliver Stone
7211,Peter Hedges
255491,Ellie Kanner
13283,Greg Richardson
10954,Gérard Corbiau
16619,Robert Redford
5879,Nagisa Ōshima
210947,Derek Lee
210947,Clif Prowse
11430,Bradley Raymond
25538,Edward Yang
19265,Woody Allen
13888,William A. Graham
14301,Joss Whedon
14342,Christopher Guest
392,Lasse Hallström
21259,Lynne Littman
87428,Sean Anders
65796,Walter Hill
14797,He Ping
9703,Doug Lefler
4806,Garry Marshall
267806,Marcel Sarmiento
267806,Nacho Vigalondo
267806,Gregg Bishop
267806,Aaron Moorhead
267806,Todd Lincoln 
267806,Justin Benson
2135,Simon Wells
1691,Eli Roth
17102,Terence Fisher
4347,Joe Wright
14574,Mark Herman
8697,Jackie Chan
8697,Benny Chan
16056,Rowan Woods
22586,Richard Rich
59118,Eric Valette
20605,Ryoo Seung-wan
65754,David Fincher
8831,Peter Hyams
64320,Jacob Tierney
16995,Kevin Macdonald
50359,Tim Hill
24056,Scott Mann
780,Carl Theodor Dreyer
11692,Ron Underwood
31262,Béla Tarr
31262,Ágnes Hranitzky
276902,Matt Shakman
12721,Corey Yuen Kwai
41670,Sidney Lumet
9556,Sam Raimi
259694,Christian Ditter
227348,Christopher B. Landon
65086,James Watkins
11197,Mikael Håfström
12689,Gurinder Chadha
44772,Jerry Schatzberg
18093,Jon Jones
23685,Henry Selick
28635,Chris Angel
55676,Martin Scorsese
55676,Michael Henry Wilson
11812,Roger Kumble
66120,Dominik Moll
24238,Adam Elliot
14425,Hart Bochner
981,George Cukor
9481,Phillip Noyce
11003,Frank Coraci
11368,Joel Coen
77951,Neil Nightingale
77951,Barry Cook
84185,Jeff Orlowski
58547,Jamie Linden
41630,Ivan Reitman
47517,John Mackenzie
14299,Darnell Martin
14164,James Wong
13641,Jieho Lee
15096,Nathan H. Juran
14900,Jim Henson
5123,Kirsten Sheridan
415132,Jean-Patrick Benes
229839,Steven R. Monroe
11413,Mitch Rouse
38093,Sanaa Hamri
3088,John Ford
8998,Nicole Holofcener
1578,Martin Scorsese
6623,Mimi Leder
8470,Nick Cassavetes
146238,Brad Furman
329,Steven Spielberg
797,Ingmar Bergman
9477,Antoine Fuqua
135309,Don Michael Paul
43488,Lewis Milestone
3179,Mike Judge
12651,Michael Caton-Jones
10664,Jaume Balagueró
10664,Paco Plaza
1887,Sofia Coppola
826,David Lean
31776,Marek Kanievska
6472,Hugh Wilson
10665,Bryan Bertino
72113,Roman Polanski
288036,Leslye Headland
10049,Michael Keusch
145316,Rob Gibbs
375183,Mark Williams
1554,Jim Jarmusch
108,Krzysztof Kieślowski
1428,Robert Rodriguez
1902,Alejandro Amenábar
85739,Stefano Sollima
37292,Delmer Daves
374617,Daniel Ragussis
15362,Jean-François Richet
184020,Danièle Thompson
2196,Frank Oz
63578,Michael Winterbottom
242224,Jennifer Kent
42203,Rainer Werner Fassbinder
12205,Hideo Nakata
695,Robert Altman
14655,Malcolm D. Lee
174751,Gavin O'Connor
174751,Gavin O'Connor
8649,Martin Scorsese
133931,Wayne Thornley
29845,John Cassavetes
284293,Richard Glatzer
284293,Wash Westmoreland
11690,Newt Arnold
14092,Mamoru Oshii
9378,Steve Beck
35813,Crane Wilbur
74387,Michael Dowse
13937,Brian De Palma
16646,Alexander Sokurov
12493,Akira Kurosawa
17803,Jack Sholder
78480,Philippe Falardeau
11329,Gary Fleder
13250,Mike Barker
199,Jonathan Frakes
192145,Paul Haggis
19912,David R. Ellis
103620,Franck Khalfoun
136403,Régis Roinsard
3040,Timur Bekmambetov
387,Wolfgang Petersen
11314,Godfrey Reggio
27554,Jerry Schatzberg
8408,George A. Romero
136418,Steven Knight
10380,Phil Nibbelink
10380,Simon Wells
11527,John Boorman
17474,Robert Mulligan
263341,Yuen Woo-ping
263341,Yuen Woo-ping
10158,Ron Shelton
9392,Neil Marshall
360814,Nitesh Tiwari
83389,Goro Miyazaki
24825,Eric Karson
818,Jay Roach
41556,Galt Niederhoffer
13354,Joe Sichta
11050,James L. Brooks
10220,John Dahl
30890,Woody Allen
1636,Harold Ramis
9701,Niki Caro
26932,Don Taylor
9978,Geoffrey Sax
22419,Gregory Mackenzie
5559,Steve Hickner
5559,Simon J. Smith
81796,Stephen St. Leger
81796,James Mather
3595,Ron Howard
264999,Gregory Jacobs
9304,Harold Ramis
10987,Joe Chappelle
200713,Albert Dupontel
265195,Damián Szifrón
4513,David Slade
16175,Craig R. Baxley
13761,Bradley Raymond
13761,Tom Ellery
19495,Sergei Bodrov Jr.
19495,Ivan Passer
2239,David Mackenzie
209415,David Trueba
3109,John Ford
13401,Griffin Dunne
335778,Kevin Reynolds
335778,Kevin Reynolds
16690,Robin Budd
16690,Donovan Cook
15184,Mike Barker
438,Ernie Barbarash
10086,Benoît Poelvoorde
10086,Rémy Belvaux
10086,André Bonzel
226857,Shana Feste
46445,Michele Lupo
10501,Don Michael Paul
10501,Bibo Bergeron
26172,J. Lee Thompson
10719,Jon Favreau
166271,Vincenzo Natali
17941,Jonathan Darby
29968,Garry Marshall
11509,Lawrence Kasdan
36597,Coky Giedroyc
1830,Andrew Niccol
